"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Anchor"	"Hreflang attribute"	"Target final redirect URL"	"Target final redirect HTTP status code"	"Is source canonical"	"Is source noindex"	"Is target canonical"	"Is target noindex"	"Is link internal"
"Href link"	"false"	"https://www.visquanta.com/blog/dealership-call-management-strategies"	"200"	"https://www.visquanta.com/blog-home"	"404"	"AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/lead-reactivation"	"200"	"https://visquanta.com/blog/5-reasons-car-buyers-prefer-sms-over-phone-calls-in-2025"	"404"	"Analysis: Why Buyers Prefer SMS in 2025"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/boost-dealership-sales-with-automaster-suite"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/csi-scores-how-top-dealers-use-ai-to-keep-5-stars-year-round"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/7-ai-tools-that-boost-car-dealership-sales-performance"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/promax-visquanta-partnership-dealership-growth"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"North Country Auto"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/voice-ai-service-scheduling-tools-dealership"	"200"	"https://www.visquanta.com/blog-home"	"404"	"VisQuanta's AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/dealership-call-management-strategies"	"200"	"https://www.visquanta.com/blog-home"	"404"	"AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/third-party-lead-providers-dealerships"	"200"	"https://www.visquanta.com/franchise-dealers"	"404"	"AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/third-party-lead-providers-dealerships"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"DealerSocket"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/promax-visquanta-partnership-dealership-growth"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"North Country Auto"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/lead-reactivation"	"200"	"https://www.visquanta.com/blog/sms-vs-email-vs-ai-chatbot-the-ultimate-guide-for-car-dealerships"	"404"	"Deep Dive: SMS vs Email vs Chatbots"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/promax-visquanta-partnership-dealership-growth"	"200"	"https://www.visquanta.com/partnerships"	"404"	"AutoMaster Suite"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://visquanta.com/blog/third-party-lead-providers-dealerships"	"200"	"https://www.visquanta.com/independent-dealers"	"404"	"Autotrader"	""	""	""	"true"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/third-party-lead-providers-dealerships"	"200"	"https://www.visquanta.com/independent-dealers"	"404"	"Autotrader"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/how-car-dealerships-use-conversational-ai-to-re-engage-old-prospects"	"200"	"https://www.visquanta.com/independent-dealers"	"404"	"[12]"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/voice-ai-service-scheduling-tools-dealership"	"200"	"https://www.visquanta.com/blog-home"	"404"	"VisQuanta's AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/7-ai-tools-that-boost-car-dealership-sales-performance"	"200"	"https://www.visquanta.com/enterprise-groups"	"404"	"AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
"Href link"	"false"	"https://www.visquanta.com/blog/promax-visquanta-partnership-dealership-growth"	"200"	"https://www.visquanta.com/partnerships"	"404"	"AutoMaster Suite"	""	""	""	"false"	"false"	"true"	"false"	"true"
