"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Is indexable page"	"No. of all inlinks"	"First found at"
"31"	"https://www.visquanta.com/enterprise-groups"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"12"	"https://www.visquanta.com/blog/crm-database-reactivation-guide"
"30"	"https://www.visquanta.com/partnerships"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.visquanta.com/blog/promax-visquanta-partnership-dealership-growth"
"30"	"https://www.visquanta.com/independent-dealers"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.visquanta.com/blog/third-party-lead-providers-dealerships"
"30"	"https://www.visquanta.com/auto-group"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.visquanta.com/blog/5-ai-tools-that-will-increase-car-dealership-sales-in-q4-2025"
"30"	"https://www.visquanta.com/franchise-dealers"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.visquanta.com/blog/third-party-lead-providers-dealerships"
"0"	"https://visquanta.com/blog/5-reasons-car-buyers-prefer-sms-over-phone-calls-in-2025"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://visquanta.com/lead-reactivation"
"0"	"https://visquanta.com/blog/sms-vs-email-vs-ai-chatbot-the-ultimate-guide-for-car-dealerships"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://visquanta.com/lead-reactivation"
"0"	"https://www.visquanta.com/blog/5-reasons-car-buyers-prefer-sms-over-phone-calls-in-2025"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.visquanta.com/lead-reactivation"
"0"	"https://www.visquanta.com/blog-home"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.visquanta.com/blog/voice-ai-service-scheduling-tools-dealership"
"0"	"https://www.visquanta.com/blog/sms-vs-email-vs-ai-chatbot-the-ultimate-guide-for-car-dealerships"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.visquanta.com/lead-reactivation"
